Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	 : 
Channel Comment	 : 

Frequency	 Magnitude	 Phase

Units:
Hz	(m/s²)(N)	 
0.0000000000000e+000	        3.420985	               0
1.5625000000000e-001	        11.48744	        51.44277
3.1250000000000e-001	        20.69672	        26.30997
4.6875000000000e-001	        33.04002	       -13.80988
6.2500000000000e-001	        39.60014	       -37.22346
7.8125000000000e-001	        40.70784	        -74.3363
9.3750000000000e-001	        31.45147	       -88.18671
1.0937500000000e+000	        23.94252	       -90.09373
1.2500000000000e+000	        30.54294	       -100.2921
1.4062500000000e+000	        24.54145	       -116.2289
1.5625000000000e+000	        24.84123	       -118.8321
1.7187500000000e+000	        19.71098	       -129.8062
1.8750000000000e+000	        20.48979	       -130.3079
2.0312500000000e+000	        22.07583	       -141.2832
2.1875000000000e+000	        19.30649	       -144.0025
2.3437500000000e+000	        17.45033	       -152.4532
2.5000000000000e+000	        18.37051	       -158.2732
2.6562500000000e+000	        17.84005	       -150.6888
2.8125000000000e+000	        18.97484	       -166.9208
2.9687500000000e+000	        16.11415	       -160.2905
3.1250000000000e+000	        16.97987	       -173.0577
3.2812500000000e+000	        15.41967	       -164.4399
3.4375000000000e+000	        15.02387	       -167.8961
3.5937500000000e+000	        16.52861	       -167.4425
3.7500000000000e+000	        15.61971	       -170.3685
3.9062500000000e+000	        16.87166	        -175.733
4.0625000000000e+000	        14.76576	       -174.3232
4.2187500000000e+000	         15.5505	       -175.0646
4.3750000000000e+000	        15.04856	       -172.1602
4.5312500000000e+000	        16.07359	        -173.732
4.6875000000000e+000	        17.41212	       -171.3833
4.8437500000000e+000	         18.6536	       -175.5081
5.0000000000000e+000	        17.80759	       -172.3995
5.1562500000000e+000	        18.50993	        175.7467
5.3125000000000e+000	        17.28816	       -175.3577
5.4687500000000e+000	        18.68905	       -175.2451
5.6250000000000e+000	        18.62273	       -177.9067
5.7812500000000e+000	        18.41738	       -174.9836
5.9375000000000e+000	        18.88884	       -176.4185
6.0937500000000e+000	        19.10888	       -174.0309
6.2500000000000e+000	         21.0751	       -178.1203
6.4062500000000e+000	        18.68465	       -174.8034
6.5625000000000e+000	         18.7646	       -175.7779
6.7187500000000e+000	        19.24278	        -177.594
6.8750000000000e+000	        18.75128	       -171.4978
7.0312500000000e+000	        19.70429	       -172.7558
7.1875000000000e+000	        19.44406	       -171.2327
7.3437500000000e+000	        20.83449	       -174.0856
7.5000000000000e+000	        20.29443	       -174.5087
7.6562500000000e+000	        19.02337	        -174.132
7.8125000000000e+000	        17.96968	        -174.035
7.9687500000000e+000	        19.10709	       -170.8998
8.1250000000000e+000	        19.70101	       -170.9997
8.2812500000000e+000	        18.56167	       -175.1491
8.4375000000000e+000	        18.28033	       -173.0192
8.5937500000000e+000	        17.96922	       -170.8961
8.7500000000000e+000	        17.85949	       -171.0159
8.9062500000000e+000	        17.72301	       -171.6392
9.0625000000000e+000	        18.55151	       -169.7478
9.2187500000000e+000	        18.61004	       -174.0551
