Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	 : 
Channel Comment	 : 

Frequency	 Magnitude	 Phase

Units:
Hz	(m/s²)(N)	 
0.0000000000000e+000	        19.21321	               0
1.5625000000000e-001	        85.39223	        43.92075
3.1250000000000e-001	        166.8749	        38.29708
4.6875000000000e-001	         224.739	        22.08852
6.2500000000000e-001	         270.622	        10.95647
7.8125000000000e-001	        262.8166	        3.194032
9.3750000000000e-001	        215.5856	       -13.27917
1.0937500000000e+000	        192.8279	       -36.49681
1.2500000000000e+000	        243.0228	       -50.16418
1.4062500000000e+000	        234.2175	       -50.73861
1.5625000000000e+000	        221.2217	       -50.28064
1.7187500000000e+000	        167.3946	       -51.90326
1.8750000000000e+000	        135.4084	       -67.04256
2.0312500000000e+000	        155.2442	       -87.10455
2.1875000000000e+000	        177.9386	       -89.50257
2.3437500000000e+000	        172.6262	       -84.00513
2.5000000000000e+000	        157.2943	       -81.80307
2.6562500000000e+000	        119.4907	       -85.99207
2.8125000000000e+000	        93.24146	       -103.2373
2.9687500000000e+000	        117.8011	       -115.8359
3.1250000000000e+000	        137.0509	       -107.6362
3.2812500000000e+000	        129.5497	       -103.8802
3.4375000000000e+000	        100.1591	       -99.37119
3.5937500000000e+000	        77.40778	       -112.3694
3.7500000000000e+000	        92.21552	       -130.2016
3.9062500000000e+000	        111.7924	       -131.1063
4.0625000000000e+000	        116.8068	       -123.0028
4.2187500000000e+000	        108.6802	       -115.6985
4.3750000000000e+000	        80.30503	       -114.5104
4.5312500000000e+000	        65.17033	       -129.5713
4.6875000000000e+000	         79.6874	       -145.8388
4.8437500000000e+000	        107.5965	       -142.2858
5.0000000000000e+000	        114.2332	       -129.4821
5.1562500000000e+000	         94.6707	       -117.7721
5.3125000000000e+000	        64.69553	       -123.9921
5.4687500000000e+000	        52.78868	       -147.5838
5.6250000000000e+000	        77.01136	       -157.6868
5.7812500000000e+000	         109.023	       -146.5665
5.9375000000000e+000	         108.615	       -129.3701
6.0937500000000e+000	         84.8181	       -110.7287
6.2500000000000e+000	        45.28074	        -107.938
6.4062500000000e+000	        45.26075	       -156.6977
6.5625000000000e+000	        75.94598	       -164.3008
6.7187500000000e+000	         99.4043	       -148.7928
6.8750000000000e+000	        100.4619	       -123.0873
7.0312500000000e+000	        85.52767	       -99.39021
7.1875000000000e+000	          49.658	       -80.28634
7.3437500000000e+000	        18.91301	        -118.421
7.5000000000000e+000	         53.6741	       -152.0555
7.6562500000000e+000	        73.94858	       -135.6075
7.8125000000000e+000	         86.6095	       -113.2489
7.9687500000000e+000	         82.4296	       -91.22843
8.1250000000000e+000	        55.56547	       -73.90543
8.2812500000000e+000	        27.30676	       -68.86366
8.4375000000000e+000	        31.63226	       -125.7873
8.5937500000000e+000	        56.75286	       -123.0096
8.7500000000000e+000	        73.97917	       -105.9475
8.9062500000000e+000	        73.44772	       -85.61949
9.0625000000000e+000	        58.14135	       -68.87212
9.2187500000000e+000	        35.28604	       -66.71623
