Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		
Channel Labels	Impact Hammer	Accelerometer

   	 G1, 1	 G2, 2
Frequency	 Mag	Mag
   	EU	EU

Units:
Hz	N	m/s²
0.0000000000000e+000	      0.09012301	        1.309775
1.5625000000000e-001	       0.0235711	        1.023161
3.1250000000000e-001	     0.009610509	        1.002999
4.6875000000000e-001	      0.00494828	       0.8446236
6.2500000000000e-001	     0.003878261	       0.6084734
7.8125000000000e-001	     0.001722771	       0.4985358
9.3750000000000e-001	     0.004382574	       0.4474627
1.0937500000000e+000	     0.002145485	       0.2498877
1.2500000000000e+000	     0.006572316	       0.4571055
1.4062500000000e+000	     0.003505158	       0.5591828
1.5625000000000e+000	      0.00487876	       0.3402968
1.7187500000000e+000	      0.00488121	       0.3558283
1.8750000000000e+000	     0.004133535	       0.2498801
2.0312500000000e+000	     0.004688852	       0.3196394
2.1875000000000e+000	     0.005540633	       0.2211991
2.3437500000000e+000	     0.004288826	       0.2954171
2.5000000000000e+000	     0.004114698	       0.1966666
2.6562500000000e+000	     0.006557463	       0.1643079
2.8125000000000e+000	     0.005854233	       0.2244266
2.9687500000000e+000	     0.007459504	        0.126135
3.1250000000000e+000	     0.004463568	       0.1911655
3.2812500000000e+000	     0.003418108	       0.1314396
3.4375000000000e+000	     0.004761008	       0.1099817
3.5937500000000e+000	     0.006395198	      0.06452844
3.7500000000000e+000	     0.005989684	       0.1131511
3.9062500000000e+000	     0.005205842	      0.09698665
4.0625000000000e+000	     0.003650878	       0.1211367
4.2187500000000e+000	     0.003810276	       0.1758022
4.3750000000000e+000	     0.003694973	       0.1310199
4.5312500000000e+000	     0.005766386	        0.104735
4.6875000000000e+000	     0.004313059	       0.1412317
4.8437500000000e+000	     0.005075581	       0.1455835
5.0000000000000e+000	     0.004600133	       0.1270384
5.1562500000000e+000	     0.004748915	       0.1170606
5.3125000000000e+000	     0.004878443	       0.0975183
5.4687500000000e+000	     0.004999969	      0.09133105
5.6250000000000e+000	     0.005480488	      0.09835638
5.7812500000000e+000	     0.004853059	       0.1484117
5.9375000000000e+000	     0.005540189	       0.1256039
6.0937500000000e+000	     0.005664702	       0.1186475
6.2500000000000e+000	     0.005449546	      0.08234514
6.4062500000000e+000	     0.005533074	       0.1670179
6.5625000000000e+000	     0.005599045	      0.07359579
6.7187500000000e+000	     0.006011066	      0.06339299
6.8750000000000e+000	     0.004867977	      0.02336331
7.0312500000000e+000	     0.005183872	       0.1005982
7.1875000000000e+000	     0.005333954	      0.06400052
7.3437500000000e+000	     0.005360133	       0.0760835
7.5000000000000e+000	     0.005099523	      0.08482604
7.6562500000000e+000	     0.005334991	      0.07823575
7.8125000000000e+000	     0.004900729	       0.1139287
7.9687500000000e+000	     0.005777598	      0.09269587
8.1250000000000e+000	      0.00540386	      0.08045498
8.2812500000000e+000	     0.005140502	         0.10881
8.4375000000000e+000	     0.005349787	       0.1250936
8.5937500000000e+000	     0.005592135	       0.0817871
8.7500000000000e+000	     0.005243268	       0.1108734
8.9062500000000e+000	      0.00556731	      0.08160958
9.0625000000000e+000	     0.005625392	      0.06825388
9.2187500000000e+000	     0.005683732	      0.07536528
9.3750000000000e+000	     0.005682677	      0.08926219
9.5312500000000e+000	     0.005490609	      0.09549991
9.6875000000000e+000	     0.005909502	      0.09558738
9.8437500000000e+000	     0.005612986	       0.1159614
1.0000000000000e+001	     0.005903459	      0.09000833
1.0156250000000e+001	     0.005805041	       0.1079606
1.0312500000000e+001	     0.005781245	      0.06342193
1.0468750000000e+001	      0.00588574	      0.04654987
1.0625000000000e+001	     0.006197917	      0.05624466
1.0781250000000e+001	     0.005848892	      0.08518607
1.0937500000000e+001	     0.006468911	      0.04994681
1.1093750000000e+001	     0.006190611	       0.1062473
1.1250000000000e+001	     0.006261784	      0.07222968
1.1406250000000e+001	     0.006487655	      0.08072031
1.1562500000000e+001	     0.006094541	      0.07171425
1.1718750000000e+001	     0.006144519	      0.06491298
1.1875000000000e+001	     0.006516995	      0.06834693
1.2031250000000e+001	     0.006512966	      0.04641989
1.2187500000000e+001	     0.006391717	      0.06443559
1.2343750000000e+001	     0.006065317	      0.06025405
1.2500000000000e+001	      0.00653419	      0.06669959
1.2656250000000e+001	     0.006434143	      0.04785183
1.2812500000000e+001	      0.00631608	      0.08740024
1.2968750000000e+001	     0.006456424	      0.05345194
1.3125000000000e+001	     0.006252917	       0.0514182
1.3281250000000e+001	     0.006232584	      0.04731872
