Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		
Channel Labels	Impact Hammer	Accelerometer

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
-1.0000000000000e-001	       0.1974611	        1.750863
-9.9609375000000e-002	       0.2021844	         2.03603
-9.9218750000000e-002	       0.2011196	        2.149012
-9.8828125000000e-002	       0.1977977	        2.065603
-9.8437500000000e-002	       0.1993805	        1.921566
-9.8046875000000e-002	       0.1982484	        1.974907
-9.7656250000000e-002	        0.198686	        1.940914
-9.7265625000000e-002	       0.2005543	        1.835136
-9.6875000000000e-002	       0.1983389	          1.5538
-9.6484375000000e-002	       0.1992315	        1.600886
-9.6093750000000e-002	       0.1963915	        1.648676
-9.5703125000000e-002	       0.1955478	        1.184059
-9.5312500000000e-002	       0.1992601	       0.9886967
-9.4921875000000e-002	       0.2016958	        1.230119
-9.4531250000000e-002	        0.200739	        1.243193
-9.4140625000000e-002	        0.200948	        1.155192
-9.3750000000000e-002	       0.2018652	       0.8169655
-9.3359375000000e-002	       0.2013026	       0.9619715
-9.2968750000000e-002	       0.2022416	       0.8567175
-9.2578125000000e-002	       0.1991894	       0.5104991
-9.2187500000000e-002	       0.1994797	      -0.3817272
-9.1796875000000e-002	       0.1989819	      -0.6595754
-9.1406250000000e-002	       0.1999356	       -1.394887
-9.1015625000000e-002	       0.1971494	       -1.909236
-9.0625000000000e-002	       0.1993145	       -1.948091
-9.0234375000000e-002	       0.2001071	       -2.329919
-8.9843750000000e-002	       0.1996697	       -2.214547
-8.9453125000000e-002	       0.2010525	       -2.407668
-8.9062500000000e-002	       0.2020946	       -2.779892
-8.8671875000000e-002	       0.2018149	       -3.094223
-8.8281250000000e-002	       0.1992105	        -3.25565
-8.7890625000000e-002	       0.2017219	       -3.136552
-8.7500000000000e-002	       0.2043634	       -3.126353
-8.7109375000000e-002	       0.2069498	       -2.976188
-8.6718750000000e-002	       0.2014094	       -2.541094
-8.6328125000000e-002	       0.2061494	       -2.377447
-8.5937500000000e-002	       0.2054674	       -1.538243
-8.5546875000000e-002	       0.2042589	      -0.8910672
-8.5156250000000e-002	       0.2031651	      -0.3755913
-8.4765625000000e-002	       0.1972709	       0.2771462
-8.4375000000000e-002	       0.2008429	        0.376737
-8.3984375000000e-002	       0.2029541	       0.6867857
-8.3593750000000e-002	       0.2046331	        1.202464
-8.3203125000000e-002	       0.2041851	        1.683892
-8.2812500000000e-002	       0.2025211	        1.820627
-8.2421875000000e-002	       0.2038478	        1.909247
-8.2031250000000e-002	       0.2055487	        2.173715
-8.1640625000000e-002	       0.2064129	        2.070484
-8.1250000000000e-002	       0.2050236	        2.585621
-8.0859375000000e-002	       0.2040484	        2.682824
-8.0468750000000e-002	       0.2073943	        2.476615
-8.0078125000000e-002	       0.2062646	        2.442342
-7.9687500000000e-002	       0.2047977	            2.32
-7.9296875000000e-002	       0.2093949	        2.190858
-7.8906250000000e-002	       0.2106103	        2.157617
-7.8515625000000e-002	       0.2064976	        2.070438
-7.8125000000000e-002	       0.2060107	        2.010225
-7.7734375000000e-002	       0.2069518	         1.95673
-7.7343750000000e-002	       0.2076478	        1.538175
-7.6953125000000e-002	       0.2084124	         1.16682
-7.6562500000000e-002	       0.2085084	        1.657837
-7.6171875000000e-002	       0.2070227	        1.543815
-7.5781250000000e-002	       0.2075442	        1.247116
-7.5390625000000e-002	       0.2077479	        1.191978
-7.5000000000000e-002	       0.2086888	        1.278242
-7.4609375000000e-002	       0.2091409	        1.089165
-7.4218750000000e-002	       0.2087365	        1.011726
-7.3828125000000e-002	       0.2056318	       0.8098404
-7.3437500000000e-002	        0.204012	       0.6353312
-7.3046875000000e-002	       0.2063623	       0.4759753
-7.2656250000000e-002	       0.2068959	       0.1791637
-7.2265625000000e-002	       0.2035767	      -0.7077583
-7.1875000000000e-002	       0.2013762	       -1.182516
-7.1484375000000e-002	       0.2072856	       -1.373419
-7.1093750000000e-002	       0.2046764	       -2.111855
-7.0703125000000e-002	       0.2065177	       -2.441788
-7.0312500000000e-002	       0.2071354	       -2.741088
-6.9921875000000e-002	       0.2040873	       -3.062885
-6.9531250000000e-002	       0.2047157	       -3.044686
-6.9140625000000e-002	       0.2034762	       -3.285376
-6.8750000000000e-002	       0.2040153	       -3.636613
-6.8359375000000e-002	       0.2019976	       -3.695922
-6.7968750000000e-002	       0.2033416	       -3.815261
-6.7578125000000e-002	        0.202943	       -3.707316
