Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I2	I2
Channel Comments		
Channel Labels	Accelerometer	Accelerometer

   	 C1, 2	 C1, 2
Frequency	 Mag	Mag
   	Ratio	Ratio

Units:
Hz		
0.0000000000000e+000	               0	               0
6.2500000000000e-002	               0	               0
1.2500000000000e-001	               0	               0
1.8750000000000e-001	               0	               0
2.5000000000000e-001	               0	               0
3.1250000000000e-001	               0	               0
3.7500000000000e-001	               0	               0
4.3750000000000e-001	               0	               0
5.0000000000000e-001	               0	               0
5.6250000000000e-001	               0	               0
6.2500000000000e-001	               0	               0
6.8750000000000e-001	               0	               0
7.5000000000000e-001	               0	               0
8.1250000000000e-001	               0	               0
8.7500000000000e-001	               0	               0
9.3750000000000e-001	               0	               0
1.0000000000000e+000	               0	               0
1.0625000000000e+000	               0	               0
1.1250000000000e+000	               0	               0
1.1875000000000e+000	               0	               0
1.2500000000000e+000	               0	               0
1.3125000000000e+000	               0	               0
1.3750000000000e+000	               0	               0
1.4375000000000e+000	               0	               0
1.5000000000000e+000	               0	               0
1.5625000000000e+000	               0	               0
1.6250000000000e+000	               0	               0
1.6875000000000e+000	               0	               0
1.7500000000000e+000	               0	               0
1.8125000000000e+000	               0	               0
1.8750000000000e+000	               0	               0
1.9375000000000e+000	               0	               0
2.0000000000000e+000	               0	               0
2.0625000000000e+000	               0	               0
2.1250000000000e+000	               0	               0
2.1875000000000e+000	               0	               0
2.2500000000000e+000	               0	               0
2.3125000000000e+000	               0	               0
2.3750000000000e+000	               0	               0
2.4375000000000e+000	               0	               0
2.5000000000000e+000	               0	               0
2.5625000000000e+000	               0	               0
2.6250000000000e+000	               0	               0
2.6875000000000e+000	               0	               0
2.7500000000000e+000	               0	               0
2.8125000000000e+000	               0	               0
2.8750000000000e+000	               0	               0
2.9375000000000e+000	               0	               0
3.0000000000000e+000	               0	               0
3.0625000000000e+000	               0	               0
3.1250000000000e+000	               0	               0
3.1875000000000e+000	               0	               0
3.2500000000000e+000	               0	               0
3.3125000000000e+000	               0	               0
3.3750000000000e+000	               0	               0
3.4375000000000e+000	               0	               0
3.5000000000000e+000	               0	               0
3.5625000000000e+000	               0	               0
3.6250000000000e+000	               0	               0
3.6875000000000e+000	               0	               0
3.7500000000000e+000	               0	               0
3.8125000000000e+000	               0	               0
3.8750000000000e+000	               0	               0
3.9375000000000e+000	               0	               0
4.0000000000000e+000	               0	               0
4.0625000000000e+000	               0	               0
4.1250000000000e+000	               0	               0
4.1875000000000e+000	               0	               0
4.2500000000000e+000	               0	               0
4.3125000000000e+000	               0	               0
4.3750000000000e+000	               0	               0
4.4375000000000e+000	               0	               0
4.5000000000000e+000	               0	               0
4.5625000000000e+000	               0	               0
4.6250000000000e+000	               0	               0
4.6875000000000e+000	               0	               0
4.7500000000000e+000	               0	               0
4.8125000000000e+000	               0	               0
4.8750000000000e+000	               0	               0
4.9375000000000e+000	               0	               0
5.0000000000000e+000	               0	               0
5.0625000000000e+000	               0	               0
5.1250000000000e+000	               0	               0
5.1875000000000e+000	               0	               0
5.2500000000000e+000	               0	               0
5.3125000000000e+000	               0	               0
5.3750000000000e+000	               0	               0
5.4375000000000e+000	               0	               0
5.5000000000000e+000	               0	               0
5.5625000000000e+000	               0	               0
5.6250000000000e+000	               0	               0
5.6875000000000e+000	               0	               0
5.7500000000000e+000	               0	               0
5.8125000000000e+000	               0	               0
5.8750000000000e+000	               0	               0
5.9375000000000e+000	               0	               0
6.0000000000000e+000	               0	               0
6.0625000000000e+000	               0	               0
6.1250000000000e+000	               0	               0
6.1875000000000e+000	               0	               0
6.2500000000000e+000	               0	               0
6.3125000000000e+000	               0	               0
6.3750000000000e+000	               0	               0
6.4375000000000e+000	               0	               0
6.5000000000000e+000	               0	               0
6.5625000000000e+000	               0	               0
6.6250000000000e+000	               0	               0
6.6875000000000e+000	               0	               0
6.7500000000000e+000	               0	               0
6.8125000000000e+000	               0	               0
6.8750000000000e+000	               0	               0
6.9375000000000e+000	               0	               0
7.0000000000000e+000	               0	               0
7.0625000000000e+000	               0	               0
7.1250000000000e+000	               0	               0
7.1875000000000e+000	               0	               0
7.2500000000000e+000	               0	               0
7.3125000000000e+000	               0	               0
7.3750000000000e+000	               0	               0
7.4375000000000e+000	               0	               0
7.5000000000000e+000	               0	               0
7.5625000000000e+000	               0	               0
7.6250000000000e+000	               0	               0
7.6875000000000e+000	               0	               0
7.7500000000000e+000	               0	               0
7.8125000000000e+000	               0	               0
7.8750000000000e+000	               0	               0
7.9375000000000e+000	               0	               0
8.0000000000000e+000	               0	               0
8.0625000000000e+000	               0	               0
8.1250000000000e+000	               0	               0
8.1875000000000e+000	               0	               0
8.2500000000000e+000	               0	               0
8.3125000000000e+000	               0	               0
8.3750000000000e+000	               0	               0
8.4375000000000e+000	               0	               0
8.5000000000000e+000	               0	               0
8.5625000000000e+000	               0	               0
8.6250000000000e+000	               0	               0
8.6875000000000e+000	               0	               0
8.7500000000000e+000	               0	               0
8.8125000000000e+000	               0	               0
8.8750000000000e+000	               0	               0
8.9375000000000e+000	               0	               0
9.0000000000000e+000	               0	               0
9.0625000000000e+000	               0	               0
9.1250000000000e+000	               0	               0
9.1875000000000e+000	               0	               0
9.2500000000000e+000	               0	               0
9.3125000000000e+000	               0	               0
9.3750000000000e+000	               0	               0
9.4375000000000e+000	               0	               0
9.5000000000000e+000	               0	               0
9.5625000000000e+000	               0	               0
9.6250000000000e+000	               0	               0
9.6875000000000e+000	               0	               0
9.7500000000000e+000	               0	               0
9.8125000000000e+000	               0	               0
9.8750000000000e+000	               0	               0
9.9375000000000e+000	               0	               0
1.0000000000000e+001	               0	               0
1.0062500000000e+001	               0	               0
1.0125000000000e+001	               0	               0
1.0187500000000e+001	               0	               0
1.0250000000000e+001	               0	               0
1.0312500000000e+001	               0	               0
1.0375000000000e+001	               0	               0
1.0437500000000e+001	               0	               0
1.0500000000000e+001	               0	               0
1.0562500000000e+001	               0	               0
1.0625000000000e+001	               0	               0
1.0687500000000e+001	               0	               0
1.0750000000000e+001	               0	               0
1.0812500000000e+001	               0	               0
1.0875000000000e+001	               0	               0
1.0937500000000e+001	               0	               0
1.1000000000000e+001	               0	               0
1.1062500000000e+001	               0	               0
1.1125000000000e+001	               0	               0
1.1187500000000e+001	               0	               0
1.1250000000000e+001	               0	               0
1.1312500000000e+001	               0	               0
1.1375000000000e+001	               0	               0
1.1437500000000e+001	               0	               0
1.1500000000000e+001	               0	               0
1.1562500000000e+001	               0	               0
1.1625000000000e+001	               0	               0
1.1687500000000e+001	               0	               0
1.1750000000000e+001	               0	               0
1.1812500000000e+001	               0	               0
1.1875000000000e+001	               0	               0
1.1937500000000e+001	               0	               0
1.2000000000000e+001	               0	               0
1.2062500000000e+001	               0	               0
1.2125000000000e+001	               0	               0
1.2187500000000e+001	               0	               0
1.2250000000000e+001	               0	               0
1.2312500000000e+001	               0	               0
1.2375000000000e+001	               0	               0
1.2437500000000e+001	               0	               0
1.2500000000000e+001	               0	               0
1.2562500000000e+001	               0	               0
1.2625000000000e+001	               0	               0
1.2687500000000e+001	               0	               0
1.2750000000000e+001	               0	               0
1.2812500000000e+001	               0	               0
1.2875000000000e+001	               0	               0
1.2937500000000e+001	               0	               0
1.3000000000000e+001	               0	               0
1.3062500000000e+001	               0	               0
1.3125000000000e+001	               0	               0
1.3187500000000e+001	               0	               0
1.3250000000000e+001	               0	               0
1.3312500000000e+001	               0	               0
1.3375000000000e+001	               0	               0
1.3437500000000e+001	               0	               0
1.3500000000000e+001	               0	               0
1.3562500000000e+001	               0	               0
1.3625000000000e+001	               0	               0
1.3687500000000e+001	               0	               0
1.3750000000000e+001	               0	               0
1.3812500000000e+001	               0	               0
1.3875000000000e+001	               0	               0
1.3937500000000e+001	               0	               0
1.4000000000000e+001	               0	               0
1.4062500000000e+001	               0	               0
1.4125000000000e+001	               0	               0
1.4187500000000e+001	               0	               0
1.4250000000000e+001	               0	               0
1.4312500000000e+001	               0	               0
1.4375000000000e+001	               0	               0
1.4437500000000e+001	               0	               0
1.4500000000000e+001	               0	               0
1.4562500000000e+001	               0	               0
1.4625000000000e+001	               0	               0
1.4687500000000e+001	               0	               0
1.4750000000000e+001	               0	               0
1.4812500000000e+001	               0	               0
1.4875000000000e+001	               0	               0
1.4937500000000e+001	               0	               0
1.5000000000000e+001	               0	               0
1.5062500000000e+001	               0	               0
1.5125000000000e+001	               0	               0
1.5187500000000e+001	               0	               0
1.5250000000000e+001	               0	               0
1.5312500000000e+001	               0	               0
1.5375000000000e+001	               0	               0
1.5437500000000e+001	               0	               0
1.5500000000000e+001	               0	               0
1.5562500000000e+001	               0	               0
1.5625000000000e+001	               0	               0
1.5687500000000e+001	               0	               0
1.5750000000000e+001	               0	               0
1.5812500000000e+001	               0	               0
1.5875000000000e+001	               0	               0
1.5937500000000e+001	               0	               0
1.6000000000000e+001	               0	               0
1.6062500000000e+001	               0	               0
1.6125000000000e+001	               0	               0
1.6187500000000e+001	               0	               0
1.6250000000000e+001	               0	               0
1.6312500000000e+001	               0	               0
1.6375000000000e+001	               0	               0
1.6437500000000e+001	               0	               0
1.6500000000000e+001	               0	               0
1.6562500000000e+001	               0	               0
1.6625000000000e+001	               0	               0
1.6687500000000e+001	               0	               0
1.6750000000000e+001	               0	               0
1.6812500000000e+001	               0	               0
1.6875000000000e+001	               0	               0
1.6937500000000e+001	               0	               0
1.7000000000000e+001	               0	               0
1.7062500000000e+001	               0	               0
1.7125000000000e+001	               0	               0
1.7187500000000e+001	               0	               0
1.7250000000000e+001	               0	               0
1.7312500000000e+001	               0	               0
1.7375000000000e+001	               0	               0
1.7437500000000e+001	               0	               0
1.7500000000000e+001	               0	               0
1.7562500000000e+001	               0	               0
1.7625000000000e+001	               0	               0
1.7687500000000e+001	               0	               0
1.7750000000000e+001	               0	               0
1.7812500000000e+001	               0	               0
1.7875000000000e+001	               0	               0
1.7937500000000e+001	               0	               0
1.8000000000000e+001	               0	               0
1.8062500000000e+001	               0	               0
1.8125000000000e+001	               0	               0
1.8187500000000e+001	               0	               0
1.8250000000000e+001	               0	               0
1.8312500000000e+001	               0	               0
1.8375000000000e+001	               0	               0
1.8437500000000e+001	               0	               0
1.8500000000000e+001	               0	               0
1.8562500000000e+001	               0	               0
1.8625000000000e+001	               0	               0
1.8687500000000e+001	               0	               0
1.8750000000000e+001	               0	               0
1.8812500000000e+001	               0	               0
1.8875000000000e+001	               0	               0
1.8937500000000e+001	               0	               0
1.9000000000000e+001	               0	               0
1.9062500000000e+001	               0	               0
1.9125000000000e+001	               0	               0
1.9187500000000e+001	               0	               0
1.9250000000000e+001	               0	               0
1.9312500000000e+001	               0	               0
1.9375000000000e+001	               0	               0
1.9437500000000e+001	               0	               0
1.9500000000000e+001	               0	               0
1.9562500000000e+001	               0	               0
1.9625000000000e+001	               0	               0
1.9687500000000e+001	               0	               0
1.9750000000000e+001	               0	               0
1.9812500000000e+001	               0	               0
1.9875000000000e+001	               0	               0
1.9937500000000e+001	               0	               0
2.0000000000000e+001	               0	               0
2.0062500000000e+001	               0	               0
2.0125000000000e+001	               0	               0
2.0187500000000e+001	               0	               0
2.0250000000000e+001	               0	               0
2.0312500000000e+001	               0	               0
2.0375000000000e+001	               0	               0
2.0437500000000e+001	               0	               0
2.0500000000000e+001	               0	               0
2.0562500000000e+001	               0	               0
2.0625000000000e+001	               0	               0
2.0687500000000e+001	               0	               0
2.0750000000000e+001	               0	               0
2.0812500000000e+001	               0	               0
2.0875000000000e+001	               0	               0
2.0937500000000e+001	               0	               0
2.1000000000000e+001	               0	               0
2.1062500000000e+001	               0	               0
2.1125000000000e+001	               0	               0
2.1187500000000e+001	               0	               0
