Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		
Channel Labels	Impact Hammer	Accelerometer

   	 S1, 1	 S2, 2
Frequency	 Mag	Mag
   	EU	EU

Units:
Hz	N	m/s²
0.0000000000000e+000	      0.04480872	       0.2915199
6.2500000000000e-002	      0.03423578	        1.231367
1.2500000000000e-001	      0.02029273	        1.260631
1.8750000000000e-001	       0.0167812	         1.24489
2.5000000000000e-001	      0.01230692	        1.019384
3.1250000000000e-001	       0.0105602	        1.257236
3.7500000000000e-001	     0.009389389	        1.147757
4.3750000000000e-001	     0.008574309	       0.9584615
5.0000000000000e-001	     0.006450791	        0.925378
5.6250000000000e-001	     0.004323438	        1.018905
6.2500000000000e-001	     0.004040398	       0.9891613
6.8750000000000e-001	     0.004253429	       0.9804831
7.5000000000000e-001	      0.00402076	       0.9473988
8.1250000000000e-001	     0.004102693	       0.9655967
8.7500000000000e-001	     0.004970157	        0.666472
9.3750000000000e-001	     0.005524498	       0.8968281
1.0000000000000e+000	     0.005311303	       0.8345145
1.0625000000000e+000	     0.003199375	         0.83496
1.1250000000000e+000	      0.00243243	       0.8239544
1.1875000000000e+000	     0.002334975	        0.832353
1.2500000000000e+000	     0.003261619	       0.7170328
1.3125000000000e+000	     0.003808005	       0.6266771
1.3750000000000e+000	     0.002739483	       0.6242343
1.4375000000000e+000	     0.002755528	       0.5241171
1.5000000000000e+000	     0.001862514	       0.7814171
1.5625000000000e+000	     0.002888418	       0.4761717
1.6250000000000e+000	     0.003535741	       0.6673817
1.6875000000000e+000	     0.002829255	       0.5227758
1.7500000000000e+000	     0.001440828	       0.7031962
1.8125000000000e+000	     0.001274608	       0.3713827
1.8750000000000e+000	     0.002937955	         0.51422
1.9375000000000e+000	     0.003282323	       0.5468706
2.0000000000000e+000	     0.001528627	       0.5071523
2.0625000000000e+000	     0.002064775	       0.3578529
2.1250000000000e+000	    0.0006044466	       0.4895151
2.1875000000000e+000	    0.0006373245	       0.2879283
2.2500000000000e+000	     0.001966489	       0.4548552
2.3125000000000e+000	     0.002360204	       0.3212631
2.3750000000000e+000	     0.001564623	       0.4807329
2.4375000000000e+000	     0.001438766	       0.3214316
2.5000000000000e+000	     0.002441041	       0.4045792
2.5625000000000e+000	     0.001947014	       0.4383633
2.6250000000000e+000	     0.002295387	       0.3977736
2.6875000000000e+000	     0.001912058	       0.3286342
2.7500000000000e+000	     0.002233729	       0.3877763
2.8125000000000e+000	     0.001165391	        0.264975
2.8750000000000e+000	      0.00174197	       0.2703747
2.9375000000000e+000	     0.001412252	       0.3231434
3.0000000000000e+000	     0.001475797	       0.3000348
3.0625000000000e+000	     0.001409042	       0.2368615
3.1250000000000e+000	    0.0006379211	       0.2297396
3.1875000000000e+000	     0.001268852	       0.2953529
3.2500000000000e+000	    0.0007896639	       0.2768025
3.3125000000000e+000	    0.0009340675	       0.2803172
3.3750000000000e+000	    0.0006624261	       0.2421887
3.4375000000000e+000	     0.001224597	       0.3291295
3.5000000000000e+000	     0.001507288	        0.207613
3.5625000000000e+000	     0.001746371	        0.290417
3.6250000000000e+000	      0.00190191	        0.186767
3.6875000000000e+000	     0.001328744	       0.2041954
3.7500000000000e+000	     0.000952322	        0.190958
3.8125000000000e+000	     0.001556077	       0.2736162
3.8750000000000e+000	     0.001175412	       0.2159938
3.9375000000000e+000	      0.00141434	       0.2408253
4.0000000000000e+000	     0.001433592	       0.1921205
4.0625000000000e+000	     0.001507391	        0.188952
4.1250000000000e+000	     0.001291597	       0.1021551
4.1875000000000e+000	     0.001149684	       0.2163961
4.2500000000000e+000	      0.00128035	       0.1044099
4.3125000000000e+000	     0.001767071	       0.2000745
4.3750000000000e+000	     0.002130802	       0.1442422
4.4375000000000e+000	     0.002273676	       0.2241494
4.5000000000000e+000	     0.001733767	       0.0961522
4.5625000000000e+000	      0.00174855	       0.2196233
4.6250000000000e+000	     0.001765237	      0.05546295
4.6875000000000e+000	     0.001896574	       0.2165326
4.7500000000000e+000	     0.001740116	      0.08261995
4.8125000000000e+000	     0.001428813	       0.2348801
4.8750000000000e+000	     0.001481849	       0.1010012
4.9375000000000e+000	      0.00186359	       0.1918729
5.0000000000000e+000	     0.001687549	      0.06405753
5.0625000000000e+000	     0.001416276	       0.2408211
5.1250000000000e+000	     0.001712759	      0.05529161
5.1875000000000e+000	     0.001847494	       0.1981745
5.2500000000000e+000	     0.001863683	      0.06550353
5.3125000000000e+000	     0.002121391	       0.1855222
