Units: EU
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	 : 
Channel Comment	 : 

Frequency	 Real

Units:
Hz	(m/s²)(N)
0.0000000000000e+000	       0.1191175
6.2500000000000e-002	  -3.905976e-005
1.2500000000000e-001	     0.008465054
1.8750000000000e-001	     0.001740694
2.5000000000000e-001	     0.002781422
3.1250000000000e-001	    -0.001033179
3.7500000000000e-001	     -0.01011562
4.3750000000000e-001	     0.001328671
5.0000000000000e-001	    -0.002268778
5.6250000000000e-001	     0.002854373
6.2500000000000e-001	     0.001918012
6.8750000000000e-001	     -0.01052671
7.5000000000000e-001	    0.0002599284
8.1250000000000e-001	     0.009024344
8.7500000000000e-001	   -0.0009416473
9.3750000000000e-001	     -0.00951146
1.0000000000000e+000	    -0.001294749
1.0625000000000e+000	    0.0006735816
1.1250000000000e+000	     0.004993074
1.1875000000000e+000	     0.003252805
1.2500000000000e+000	    0.0008288206
1.3125000000000e+000	     0.003066337
1.3750000000000e+000	    0.0008847681
1.4375000000000e+000	    -0.005997908
1.5000000000000e+000	     0.001287322
1.5625000000000e+000	       0.0060299
1.6250000000000e+000	     0.001735182
1.6875000000000e+000	    0.0001873772
1.7500000000000e+000	    0.0006031163
1.8125000000000e+000	     0.001254398
1.8750000000000e+000	   -0.0003017299
1.9375000000000e+000	   8.143992e-005
2.0000000000000e+000	    0.0008951444
2.0625000000000e+000	    -0.002906931
2.1250000000000e+000	    -0.001690246
2.1875000000000e+000	     0.001266103
2.2500000000000e+000	     0.002328449
2.3125000000000e+000	   -0.0004314996
2.3750000000000e+000	   -0.0001001675
2.4375000000000e+000	  -9.693314e-005
2.5000000000000e+000	      0.00157711
2.5625000000000e+000	     0.002231145
2.6250000000000e+000	     0.002658876
2.6875000000000e+000	   -0.0009061894
2.7500000000000e+000	    0.0002067192
2.8125000000000e+000	     0.002053681
2.8750000000000e+000	    -0.001077565
2.9375000000000e+000	    0.0009726327
3.0000000000000e+000	     0.001978441
3.0625000000000e+000	     0.001636544
3.1250000000000e+000	     0.001594681
3.1875000000000e+000	  -3.233436e-005
3.2500000000000e+000	   -0.0005877689
3.3125000000000e+000	    0.0001090975
3.3750000000000e+000	  -3.147385e-005
3.4375000000000e+000	   -0.0002414343
3.5000000000000e+000	     0.001454683
3.5625000000000e+000	    0.0008640803
3.6250000000000e+000	    0.0005932844
3.6875000000000e+000	    0.0008315242
3.7500000000000e+000	    0.0008061785
3.8125000000000e+000	    7.19208e-005
3.8750000000000e+000	    0.0005930118
3.9375000000000e+000	   -0.0003401239
4.0000000000000e+000	     2.3804e-005
4.0625000000000e+000	   -0.0001948545
4.1250000000000e+000	   -0.0006842784
4.1875000000000e+000	    6.85569e-005
4.2500000000000e+000	     0.000345453
4.3125000000000e+000	    0.0002326494
4.3750000000000e+000	   -0.0001618093
4.4375000000000e+000	    -0.000272894
4.5000000000000e+000	   -0.0002766002
4.5625000000000e+000	     0.000200297
4.6250000000000e+000	   -0.0002586642
