Units: EU
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	 : 
Channel Comment	 : 

Frequency	 Real

Units:
Hz	(m/s²)(N)
0.0000000000000e+000	       0.1037007
6.2500000000000e-002	     0.005985592
1.2500000000000e-001	     0.002806505
1.8750000000000e-001	     0.001673252
2.5000000000000e-001	    0.0008812747
3.1250000000000e-001	    0.0002279536
3.7500000000000e-001	    0.0002223841
4.3750000000000e-001	   -0.0001852876
5.0000000000000e-001	    0.0001154894
5.6250000000000e-001	    0.0001093068
6.2500000000000e-001	   -0.0001143554
6.8750000000000e-001	   -0.0001423233
7.5000000000000e-001	   -0.0002961088
8.1250000000000e-001	   -0.0001895828
8.7500000000000e-001	   -0.0002846451
9.3750000000000e-001	   -0.0001427539
1.0000000000000e+000	   -0.0003309504
1.0625000000000e+000	   4.578828e-005
1.1250000000000e+000	    0.0001097322
1.1875000000000e+000	  -2.818573e-005
1.2500000000000e+000	   3.423052e-005
1.3125000000000e+000	   -0.0001041629
1.3750000000000e+000	  -5.866406e-005
1.4375000000000e+000	  -4.564049e-005
1.5000000000000e+000	  -3.832936e-005
1.5625000000000e+000	  -8.269055e-005
1.6250000000000e+000	     7.0759e-005
1.6875000000000e+000	   -5.86767e-005
1.7500000000000e+000	   -0.0002358909
1.8125000000000e+000	   -0.0003801798
1.8750000000000e+000	   -0.0003382491
1.9375000000000e+000	   -0.0003032635
2.0000000000000e+000	   -0.0003232284
2.0625000000000e+000	   -0.0001103272
2.1250000000000e+000	   -0.0001394266
2.1875000000000e+000	   -0.0002242999
2.2500000000000e+000	   -0.0001171274
2.3125000000000e+000	    -0.000325626
2.3750000000000e+000	   -0.0001782454
2.4375000000000e+000	   -0.0001559786
2.5000000000000e+000	   -0.0003360103
2.5625000000000e+000	   -0.0003192772
2.6250000000000e+000	   -0.0001046984
2.6875000000000e+000	   -0.0002318648
2.7500000000000e+000	   -0.0001185002
2.8125000000000e+000	   -0.0003386849
2.8750000000000e+000	     -0.00016022
2.9375000000000e+000	   -0.0001402782
3.0000000000000e+000	   -0.0001505534
3.0625000000000e+000	   -0.0003231585
3.1250000000000e+000	   -0.0001829918
3.1875000000000e+000	   -0.0002230884
3.2500000000000e+000	   -0.0001379922
3.3125000000000e+000	   -0.0002267099
3.3750000000000e+000	    -0.000219328
3.4375000000000e+000	   -0.0001942098
3.5000000000000e+000	   -0.0001153057
3.5625000000000e+000	   -0.0001219229
3.6250000000000e+000	    0.0001117963
3.6875000000000e+000	   -0.0001664713
3.7500000000000e+000	  -3.836553e-005
3.8125000000000e+000	   -0.0002355326
3.8750000000000e+000	   -0.0001564333
3.9375000000000e+000	    -0.000322036
4.0000000000000e+000	   -0.0002777654
4.0625000000000e+000	   -0.0001827292
4.1250000000000e+000	    -0.000226432
4.1875000000000e+000	   -0.0002264846
4.2500000000000e+000	   -0.0002274127
4.3125000000000e+000	   -0.0003925043
4.3750000000000e+000	   -0.0001612287
4.4375000000000e+000	   -0.0002202393
