Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 	 0-Z:0-Z	 
Channel Names	I1 : I2	 	I1 : I1	 
Channel Comments	 : 	 	 : 	 
Channel Labels	Impact Hammer	 	Accelerometer	 

   	 S1	 S2
Frequency	 Real	Real
   	EU	EU

Units:
Hz	N	m/s²
0.0000000000000e+000	       0.2519747	       0.8231038
6.2500000000000e-002	     0.008943666	       0.2799559
1.2500000000000e-001	    0.0008987915	     0.004434481
1.8750000000000e-001	    -0.001165024	      0.02384347
2.5000000000000e-001	     0.001117595	     -0.06377774
3.1250000000000e-001	    0.0002027815	      -0.1224348
3.7500000000000e-001	    -0.001666032	     -0.05525406
4.3750000000000e-001	    -0.001341572	      0.04306295
5.0000000000000e-001	    -0.001677488	      0.06235407
5.6250000000000e-001	   -0.0009409487	     -0.02750257
6.2500000000000e-001	     0.001236116	      -0.1289297
6.8750000000000e-001	     0.001679837	      -0.1366521
7.5000000000000e-001	      0.00382353	      -0.1317505
8.1250000000000e-001	     0.004650557	     -0.08212266
8.7500000000000e-001	     0.004853135	     -0.08641458
9.3750000000000e-001	      0.00505403	     -0.02538127
1.0000000000000e+000	     0.003728714	       -0.139722
1.0625000000000e+000	     0.002912714	     -0.02131658
1.1250000000000e+000	     0.003166832	      0.04588486
1.1875000000000e+000	     0.002508739	     -0.01001473
1.2500000000000e+000	     0.003103148	      0.00621314
1.3125000000000e+000	     0.004319177	      -0.1132205
1.3750000000000e+000	     0.003195786	      -0.1242674
1.4375000000000e+000	     0.002804726	     -0.07843439
1.5000000000000e+000	      0.00233455	      -0.1025302
1.5625000000000e+000	      0.00225762	      -0.1179932
1.6250000000000e+000	     0.001895061	     -0.05115817
1.6875000000000e+000	     0.002711015	     -0.06815365
1.7500000000000e+000	      0.00256439	      -0.1493685
1.8125000000000e+000	     0.003349395	      -0.1930015
1.8750000000000e+000	     0.003253385	      -0.1016864
1.9375000000000e+000	     0.002542394	     -0.04397801
2.0000000000000e+000	     0.002482662	       -0.127514
2.0625000000000e+000	     0.002264412	    -0.007484915
2.1250000000000e+000	     0.002604295	     -0.03749043
2.1875000000000e+000	     0.001478725	      -0.1218382
2.2500000000000e+000	     0.003467373	      -0.0503807
2.3125000000000e+000	     0.003402929	     -0.07633951
2.3750000000000e+000	     0.001656739	     -0.06801632
2.4375000000000e+000	    0.0008110974	      -0.1016305
2.5000000000000e+000	     0.002236547	      -0.0610439
2.5625000000000e+000	     0.001049104	      -0.1061261
2.6250000000000e+000	    0.0002703089	      0.04966136
2.6875000000000e+000	     0.000501083	      -0.0792989
2.7500000000000e+000	     0.002049871	     -0.06079346
2.8125000000000e+000	     0.001585138	     -0.07251419
2.8750000000000e+000	     0.001391182	      0.02268652
2.9375000000000e+000	    0.0005592287	     -0.01951034
3.0000000000000e+000	    0.0008266154	       -0.114726
3.0625000000000e+000	     0.001219752	     -0.05845945
3.1250000000000e+000	     0.001092874	     0.005275629
3.1875000000000e+000	    0.0002081706	     -0.03391866
3.2500000000000e+000	    0.0006061376	     0.003295116
3.3125000000000e+000	    0.0008078893	      0.03884293
3.3750000000000e+000	   -0.0001180202	      0.04634396
3.4375000000000e+000	   -0.0001164658	      0.03297672
3.5000000000000e+000	   -0.0002901161	     0.008759759
3.5625000000000e+000	   -0.0003928463	       0.0640436
3.6250000000000e+000	   -0.0008409782	     -0.03502952
3.6875000000000e+000	    -0.001408024	     -0.02879319
3.7500000000000e+000	    -0.001979354	     -0.04762257
3.8125000000000e+000	    -0.002812246	     0.007532142
3.8750000000000e+000	    -0.001891654	     -0.03618154
3.9375000000000e+000	    -0.002544105	      0.03103356
4.0000000000000e+000	    -0.001970737	      0.07273884
4.0625000000000e+000	    -0.002209864	     0.003239114
4.1250000000000e+000	    -0.002053751	      0.07782019
4.1875000000000e+000	    -0.002241983	      0.04947184
4.2500000000000e+000	     -0.00247762	      0.05967341
4.3125000000000e+000	    -0.002945987	       0.1092685
4.3750000000000e+000	     -0.00321219	      0.05627081
4.4375000000000e+000	    -0.003038635	      0.07836029
4.5000000000000e+000	    -0.002872694	      0.06629437
4.5625000000000e+000	     -0.00327399	      0.07509113
